"Position (m) Run #16","Magnetic Field Strength (100X) (T) Run #16"
0.0000,4.5E-6
0.0000,4.5E-6
0.0000,4.5E-6
0.0000,4.5E-6
0.0000,4.5E-6
0.0000,4.5E-6
0.0000,4.5E-6
0.0000,4.5E-6
0.0000,4.5E-6
3.7500E-5,4.5E-6
3.7500E-5,4.5E-6
3.7500E-5,4.5E-6
3.7500E-5,4.5E-6
3.7500E-5,4.6E-6
-6.7500E-4,5.5E-6
-0.0035,8.3E-6
-0.0099,1.3E-5
-0.0192,1.8E-5
-0.0301,2.1E-5
-0.0425,2.0E-5
-0.0561,1.7E-5
-0.0698,1.2E-5
-0.0831,8.8E-6
-0.0972,6.1E-6
-0.1110,4.3E-6
-0.1236,3.2E-6
-0.1344,2.5E-6
-0.1442,2.0E-6
-0.1529,1.6E-6
-0.1608,1.4E-6
-0.1691,1.2E-6
-0.1779,9.7E-7
-0.1866,8.3E-7
-0.1946,7.1E-7
-0.2011,6.4E-7
-0.2043,6.1E-7
-0.2042,6.2E-7
-0.2024,6.5E-7
-0.1983,6.9E-7
-0.1917,8.0E-7
-0.1829,9.6E-7
-0.1724,1.2E-6
-0.1603,1.6E-6
-0.1470,2.1E-6
-0.1326,3.0E-6
-0.1174,4.4E-6
-0.1014,6.6E-6
-0.0853,1.0E-5
-0.0692,1.5E-5
-0.0536,1.9E-5
-0.0385,2.1E-5
-0.0239,1.7E-5
-0.0097,9.2E-6
0.0043,-1.5E-6
0.0184,-1.2E-5
0.0321,-1.8E-5
0.0454,-2.0E-5
0.0583,-1.8E-5
0.0711,-1.5E-5
0.0838,-1.1E-5
0.0960,-8.3E-6
0.1075,-6.3E-6
0.1181,-4.8E-6
0.1281,-3.8E-6
0.1377,-3.0E-6
0.1463,-2.5E-6
0.1543,-2.1E-6
0.1616,-1.8E-6
0.1681,-1.6E-6
0.1736,-1.4E-6
0.1775,-1.3E-6
0.1789,-1.3E-6
0.1785,-1.3E-6
0.1758,-1.4E-6
0.1698,-1.6E-6
0.1613,-2.0E-6
0.1508,-2.5E-6
0.1389,-3.3E-6
0.1253,-4.7E-6
0.1098,-7.0E-6
0.0928,-1.1E-5
0.0764,-1.5E-5
0.0611,-1.9E-5
0.0472,-2.0E-5
0.0353,-1.8E-5
0.0269,-1.4E-5
0.0220,-1.1E-5
0.0185,-9.0E-6
0.0149,-6.3E-6
0.0109,-3.1E-6
0.0062,5.8E-7
0.0016,3.8E-6
-0.0010,5.4E-6
-0.0015,5.6E-6
-0.0015,5.6E-6
-0.0015,5.6E-6
-0.0015,5.6E-6
-0.0016,5.6E-6
-0.0016,5.6E-6
-0.0017,5.6E-6
-0.0017,5.6E-6
-0.0017,5.6E-6
-0.0017,5.6E-6
-0.0017,5.6E-6
-0.0017,5.6E-6
-0.0017,5.6E-6
-0.0017,5.6E-6
-0.0017,5.6E-6
-0.0017,5.6E-6
-0.0017,5.6E-6
-0.0017,5.6E-6
-0.0017,5.6E-6
-0.0017,5.6E-6
-0.0017,5.6E-6
-0.0017,5.6E-6
-0.0017,5.6E-6
