"Position (m) Run #17","Magnetic Field Strength (100X) (T) Run #17"
3.7500E-5,5.4E-7
7.5000E-5,5.4E-7
7.5000E-5,5.3E-7
1.1250E-4,5.4E-7
1.1250E-4,5.4E-7
1.1250E-4,5.4E-7
1.1250E-4,5.5E-7
1.1250E-4,5.5E-7
1.1250E-4,5.5E-7
1.1250E-4,5.5E-7
1.1250E-4,5.6E-7
1.1250E-4,5.5E-7
1.1250E-4,5.6E-7
1.1250E-4,5.6E-7
1.1250E-4,5.5E-7
1.1250E-4,5.6E-7
1.5000E-4,5.7E-7
-7.5000E-5,8.8E-7
-0.0024,2.3E-6
-0.0081,5.2E-6
-0.0164,9.3E-6
-0.0263,1.4E-5
-0.0379,2.0E-5
-0.0504,2.5E-5
-0.0646,2.6E-5
-0.0796,2.3E-5
-0.0943,1.8E-5
-0.1073,1.4E-5
-0.1190,1.0E-5
-0.1300,7.5E-6
-0.1410,5.6E-6
-0.1511,4.3E-6
-0.1592,3.5E-6
-0.1650,3.0E-6
-0.1692,2.7E-6
-0.1735,2.4E-6
-0.1780,2.1E-6
-0.1821,1.9E-6
-0.1834,1.9E-6
-0.1833,1.9E-6
-0.1822,2.0E-6
-0.1784,2.3E-6
-0.1719,2.7E-6
-0.1631,3.5E-6
-0.1521,4.8E-6
-0.1395,6.8E-6
-0.1258,1.0E-5
-0.1110,1.5E-5
-0.0954,2.0E-5
-0.0792,2.5E-5
-0.0636,2.6E-5
-0.0481,2.2E-5
-0.0334,1.5E-5
-0.0192,8.0E-6
-0.0058,1.9E-6
0.0067,-3.7E-6
0.0188,-9.3E-6
0.0309,-1.5E-5
0.0431,-2.1E-5
0.0555,-2.5E-5
0.0676,-2.7E-5
0.0792,-2.5E-5
0.0903,-2.2E-5
0.1010,-1.8E-5
0.1115,-1.5E-5
0.1223,-1.1E-5
0.1330,-8.9E-6
0.1434,-7.0E-6
0.1531,-5.7E-6
0.1616,-4.8E-6
0.1688,-4.2E-6
0.1748,-3.8E-6
0.1792,-3.5E-6
0.1819,-3.4E-6
0.1824,-3.4E-6
0.1813,-3.5E-6
0.1774,-3.8E-6
0.1703,-4.4E-6
0.1602,-5.5E-6
0.1490,-7.0E-6
0.1380,-8.9E-6
0.1276,-1.1E-5
0.1178,-1.4E-5
0.1085,-1.7E-5
0.0991,-2.1E-5
0.0887,-2.4E-5
0.0772,-2.7E-5
0.0658,-2.6E-5
0.0552,-2.4E-5
0.0458,-2.0E-5
0.0369,-1.6E-5
0.0281,-1.1E-5
0.0195,-7.3E-6
0.0112,-3.6E-6
0.0037,-3.5E-7
-0.0020,2.0E-6
-0.0052,3.0E-6
-0.0054,3.1E-6
-0.0054,3.1E-6
-0.0054,3.1E-6
-0.0054,3.1E-6
-0.0055,3.1E-6
-0.0055,3.1E-6
-0.0056,3.1E-6
-0.0056,3.1E-6
-0.0056,3.1E-6
-0.0056,3.1E-6
-0.0056,3.1E-6
-0.0056,3.0E-6
-0.0056,3.1E-6
-0.0056,3.0E-6
